timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/23 12:23:29.950, 0, NVIDIA RTX A6000, 92 %, 73 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:29.951, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:30.954, 0, NVIDIA RTX A6000, 95 %, 80 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:30.954, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:31.978, 0, NVIDIA RTX A6000, 86 %, 37 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:31.978, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:32.978, 0, NVIDIA RTX A6000, 100 %, 100 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:32.978, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:33.978, 0, NVIDIA RTX A6000, 97 %, 82 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:33.978, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:34.978, 0, NVIDIA RTX A6000, 93 %, 69 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:34.978, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:35.978, 0, NVIDIA RTX A6000, 94 %, 80 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:35.978, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:37.099, 0, NVIDIA RTX A6000, 86 %, 37 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:37.099, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:38.100, 0, NVIDIA RTX A6000, 91 %, 58 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:38.100, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:39.100, 0, NVIDIA RTX A6000, 95 %, 75 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:39.100, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:40.100, 0, NVIDIA RTX A6000, 90 %, 57 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:40.100, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:41.100, 0, NVIDIA RTX A6000, 91 %, 61 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:41.100, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:42.240, 0, NVIDIA RTX A6000, 100 %, 100 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:42.240, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:43.240, 0, NVIDIA RTX A6000, 98 %, 83 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:43.240, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:44.240, 0, NVIDIA RTX A6000, 93 %, 69 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:44.240, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:45.240, 0, NVIDIA RTX A6000, 88 %, 44 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:45.240, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:46.240, 0, NVIDIA RTX A6000, 84 %, 29 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:46.240, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:47.273, 0, NVIDIA RTX A6000, 83 %, 28 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:47.273, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:48.273, 0, NVIDIA RTX A6000, 87 %, 40 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:48.273, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:49.273, 0, NVIDIA RTX A6000, 86 %, 38 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:49.273, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:50.273, 0, NVIDIA RTX A6000, 91 %, 61 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:50.273, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:51.273, 0, NVIDIA RTX A6000, 93 %, 74 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:51.274, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:52.312, 0, NVIDIA RTX A6000, 94 %, 79 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:52.312, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:53.312, 0, NVIDIA RTX A6000, 97 %, 87 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:53.312, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:54.312, 0, NVIDIA RTX A6000, 100 %, 98 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:54.313, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:55.313, 0, NVIDIA RTX A6000, 96 %, 80 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:55.313, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:56.313, 0, NVIDIA RTX A6000, 93 %, 73 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:56.313, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:57.457, 0, NVIDIA RTX A6000, 87 %, 42 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:57.457, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:58.457, 0, NVIDIA RTX A6000, 86 %, 37 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:58.457, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:23:59.458, 0, NVIDIA RTX A6000, 100 %, 89 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:23:59.458, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:00.458, 0, NVIDIA RTX A6000, 95 %, 76 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:00.458, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:01.458, 0, NVIDIA RTX A6000, 90 %, 55 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:01.458, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:02.585, 0, NVIDIA RTX A6000, 97 %, 86 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:02.586, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:03.586, 0, NVIDIA RTX A6000, 100 %, 100 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:03.586, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:04.586, 0, NVIDIA RTX A6000, 97 %, 83 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:04.586, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:05.586, 0, NVIDIA RTX A6000, 93 %, 69 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:05.586, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:06.586, 0, NVIDIA RTX A6000, 88 %, 44 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:06.586, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:07.586, 0, NVIDIA RTX A6000, 84 %, 30 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:07.587, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:08.587, 0, NVIDIA RTX A6000, 84 %, 28 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:08.588, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:09.588, 0, NVIDIA RTX A6000, 87 %, 41 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:09.588, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:10.588, 0, NVIDIA RTX A6000, 86 %, 37 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:10.588, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:11.589, 0, NVIDIA RTX A6000, 91 %, 60 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:11.589, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:12.629, 0, NVIDIA RTX A6000, 92 %, 74 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:12.629, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:13.629, 0, NVIDIA RTX A6000, 94 %, 79 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:13.630, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:14.630, 0, NVIDIA RTX A6000, 96 %, 85 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:14.630, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:15.630, 0, NVIDIA RTX A6000, 100 %, 100 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:15.630, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:16.630, 0, NVIDIA RTX A6000, 92 %, 65 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:16.630, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:17.764, 0, NVIDIA RTX A6000, 92 %, 72 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:17.764, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:18.764, 0, NVIDIA RTX A6000, 94 %, 80 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:18.764, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:19.764, 0, NVIDIA RTX A6000, 99 %, 95 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:19.764, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:20.765, 0, NVIDIA RTX A6000, 100 %, 89 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:20.765, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:21.765, 0, NVIDIA RTX A6000, 95 %, 75 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:21.765, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:22.834, 0, NVIDIA RTX A6000, 90 %, 56 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:22.834, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:23.834, 0, NVIDIA RTX A6000, 85 %, 35 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:23.834, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:24.834, 0, NVIDIA RTX A6000, 84 %, 21 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:24.834, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:25.834, 0, NVIDIA RTX A6000, 85 %, 33 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:25.834, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:26.834, 0, NVIDIA RTX A6000, 87 %, 37 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:26.836, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:27.836, 0, NVIDIA RTX A6000, 90 %, 51 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:27.836, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:28.837, 0, NVIDIA RTX A6000, 92 %, 68 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:28.837, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:29.837, 0, NVIDIA RTX A6000, 93 %, 76 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:29.837, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:30.837, 0, NVIDIA RTX A6000, 95 %, 81 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:30.837, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:31.837, 0, NVIDIA RTX A6000, 100 %, 100 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:31.837, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:32.965, 0, NVIDIA RTX A6000, 91 %, 61 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:32.965, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:33.965, 0, NVIDIA RTX A6000, 92 %, 74 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:33.965, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:34.965, 0, NVIDIA RTX A6000, 90 %, 54 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:34.965, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:35.965, 0, NVIDIA RTX A6000, 84 %, 35 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:35.965, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:36.965, 0, NVIDIA RTX A6000, 92 %, 72 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:36.966, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:38.133, 0, NVIDIA RTX A6000, 92 %, 65 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:38.133, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:39.133, 0, NVIDIA RTX A6000, 92 %, 73 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:39.133, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:40.133, 0, NVIDIA RTX A6000, 94 %, 79 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:40.134, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:41.134, 0, NVIDIA RTX A6000, 99 %, 98 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:41.134, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:42.134, 0, NVIDIA RTX A6000, 99 %, 88 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:42.134, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:43.209, 0, NVIDIA RTX A6000, 95 %, 76 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:43.209, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:44.209, 0, NVIDIA RTX A6000, 90 %, 54 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:44.209, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:45.209, 0, NVIDIA RTX A6000, 84 %, 34 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:45.209, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:46.209, 0, NVIDIA RTX A6000, 84 %, 23 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:46.210, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:47.210, 0, NVIDIA RTX A6000, 86 %, 35 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:47.210, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:48.210, 0, NVIDIA RTX A6000, 87 %, 37 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:48.210, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:49.210, 0, NVIDIA RTX A6000, 90 %, 51 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:49.210, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:50.210, 0, NVIDIA RTX A6000, 92 %, 74 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:50.210, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
2024/11/23 12:24:51.210, 0, NVIDIA RTX A6000, 94 %, 79 %, 49140 MiB, 25073 MiB, 23498 MiB
2024/11/23 12:24:51.211, 1, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 15 MiB, 48555 MiB
